,patients,selected,metric,metric_ct,metric_pheno,rrms_to_nindc,selected_to_cohort,ct_evaluation,ct_evaluation_highlights
nk_reg_revised_uncertainty_v3_filter-1,42,126,0.21,0.299,0.702,4.25,0.162,mtl_nk_reg_revised_uncertainty_v3_filter-1;cd4;0.873,
nk_reg_revised_uncertainty_v3_filter-3,47,301,0.655,0.694,0.944,1.761,0.386,,
dg_reg_revised_uncertainty_v3_filter-0,43,116,0.272,0.398,0.682,4.524,0.392,,
dg_reg_revised_uncertainty_v3_filter-1,54,404,0.471,0.535,0.881,2.339,1.365,,
cd4_reg_revised_uncertainty_v3_filter-0,44,260,0.384,0.445,0.862,2.514,0.03,,
cd8_reg_revised_uncertainty_v3_filter-0,43,152,0.405,0.487,0.831,2.8,0.038,,
cd8_reg_revised_uncertainty_v3_filter-1,45,156,0.354,0.461,0.768,3.457,0.039,,
b_reg_revised_uncertainty_v3_filter-0,55,1038,0.312,0.33,0.945,1.753,0.46,,
b_reg_revised_uncertainty_v3_filter-1,44,144,0.461,0.535,0.862,2.512,0.064,,
my_reg_revised_uncertainty_v3_filter-1,29,58,0.152,0.419,0.362,13.5,0.139,,
my_reg_revised_uncertainty_v3_filter-2,54,312,0.586,0.646,0.908,2.089,0.746,,
my_reg_revised_uncertainty_v3_filter-3,35,115,0.369,0.511,0.722,4.0,0.275,,
nkt_reg_revised_uncertainty_v3_filter-0,41,118,0.454,0.585,0.776,3.37,0.322,,
nkt_reg_revised_uncertainty_v3_filter-1,42,172,0.467,0.563,0.829,2.822,0.47,,
nk_reg_None_v2_filter-0,56,655,0.417,0.443,0.942,1.787,0.84,,
nk_reg_None_v2_filter-1,57,622,0.547,0.584,0.936,1.84,0.797,,
dg_reg_None_v2_filter-0,57,574,0.554,0.596,0.929,1.899,1.939,,
dg_reg_None_v2_filter-1,57,676,0.418,0.442,0.947,1.737,2.284,,
cd4_reg_None_v2_filter-0,56,589,0.424,0.457,0.928,1.916,0.067,,
cd8_reg_None_v2_filter-0,55,508,0.43,0.458,0.938,1.822,0.128,,
cd8_reg_None_v2_filter-1,56,453,0.484,0.537,0.902,2.146,0.114,,
b_reg_None_v2_filter-0,57,672,0.539,0.577,0.935,1.847,0.298,,
b_reg_None_v2_filter-1,58,675,0.44,0.459,0.96,1.616,0.299,,
my_reg_None_v2_filter-1,57,699,0.411,0.432,0.953,1.678,1.672,,
my_reg_None_v2_filter-2,57,522,0.53,0.577,0.918,2.0,1.249,,
nkt_reg_None_v2_filter-0,57,739,0.417,0.439,0.951,1.697,2.019,,
nkt_reg_None_v2_filter-1,55,411,0.529,0.585,0.906,2.114,1.123,,
nk_reg_uncertainty_v3_filter-1,35,91,0.247,0.418,0.592,6.0,0.117,,
nk_reg_uncertainty_v3_filter-2,40,116,0.487,0.647,0.752,3.64,0.149,,
nk_reg_uncertainty_v3_filter-3,59,1534,0.34,0.352,0.967,1.544,1.967,,
nk_reg_uncertainty_v3_filter-4,37,92,0.358,0.519,0.69,4.412,0.118,,
nk_reg_uncertainty_v3_filter-5,38,125,0.316,0.471,0.671,4.682,0.16,,
nk_reg_uncertainty_v3_filter-6,29,47,0.177,0.421,0.42,10.75,0.06,,
nk_reg_uncertainty_v3_filter-8,46,146,0.435,0.532,0.817,2.946,0.187,,
